vehicle_id,insured_value_million_toman,risk_score,segment,has_own_damage_policy,record_type
V00218,1239.443075,1.08929294,standard,True,synthetic
V00219,521.934733,1.65140128,standard,True,synthetic
V00220,1340.67777,0.6751591,standard,True,synthetic
V00221,753.040874,1.20859288,standard,False,synthetic
V00222,1188.927279,2.63421995,standard,False,synthetic
V00223,810.630567,1.32211671,commercial,False,synthetic
V00224,1038.07874,0.42218904,standard,True,synthetic
V00225,285.640973,0.84291069,commercial,False,synthetic
V00226,691.66285,0.54898348,preferred,False,synthetic
V00227,1096.171745,0.89865367,preferred,False,synthetic
V00228,649.737717,1.54480537,standard,False,synthetic
V00229,454.603627,1.08405777,preferred,True,synthetic
V00230,895.701557,0.98133663,preferred,False,synthetic
V00231,1594.752973,0.74595758,preferred,True,synthetic
V00232,259.534811,1.21570993,preferred,False,synthetic
V00233,307.177448,1.07019917,standard,False,synthetic
V00234,828.455047,0.71946509,standard,False,synthetic
V00235,671.308997,1.02476081,standard,True,synthetic
V00236,770.34779,0.70761315,standard,True,synthetic
V00237,865.933294,1.10225896,commercial,True,synthetic
V00238,303.325445,1.19447544,standard,False,synthetic
V00239,983.036808,1.0657824,standard,True,synthetic
V00240,332.745073,1.00177656,commercial,True,synthetic
V00241,1140.191062,0.81743862,standard,True,synthetic
V00242,409.912755,0.74133535,standard,True,synthetic
V00243,796.184743,0.86506841,standard,False,synthetic
V00244,837.770587,0.66620433,standard,True,synthetic
V00245,1454.055632,1.42476857,preferred,True,synthetic
V00246,518.070411,1.07174092,standard,False,synthetic
V00247,394.000978,0.88074485,standard,False,synthetic
V00248,1045.012644,0.6484292,standard,False,synthetic
V00249,689.91911,0.90610972,preferred,True,synthetic
V00250,643.940556,1.22618735,standard,False,synthetic
V00251,520.788363,0.76704915,standard,False,synthetic
V00252,438.696194,0.92400398,standard,True,synthetic
V00253,501.38628,0.67994209,standard,True,synthetic
V00254,1107.838606,1.02858559,standard,True,synthetic
V00255,1437.515448,0.54987053,standard,False,synthetic
V00256,1512.158955,1.15806669,preferred,True,synthetic
V00257,1745.333356,0.82726069,preferred,True,synthetic
V00258,701.671643,0.51067041,standard,True,synthetic
V00259,828.368149,1.08975786,standard,False,synthetic
V00260,1529.182039,2.08288478,preferred,True,synthetic
V00261,641.685124,0.78358412,standard,False,synthetic
V00262,703.93056,1.64121155,standard,True,synthetic
V00263,993.053842,1.40355984,standard,True,synthetic
V00264,762.752453,1.66864934,standard,True,synthetic
V00265,336.268537,0.79517667,standard,False,synthetic
V00266,928.314611,1.23939958,preferred,False,synthetic
V00267,645.667704,1.22569219,standard,False,synthetic
V00268,688.497038,1.32549768,standard,True,synthetic
V00269,725.928282,1.17517229,standard,False,synthetic
V00270,1248.886538,0.96305441,standard,True,synthetic
V00271,518.863198,1.63149461,standard,False,synthetic
V00272,1628.690253,0.58920519,standard,False,synthetic
V00273,432.873499,0.79940105,standard,False,synthetic
V00274,980.083616,1.1587274,standard,True,synthetic
V00275,250.0,1.25741306,standard,True,synthetic
V00276,866.80492,0.75111565,standard,True,synthetic
V00277,441.139636,1.19652313,preferred,True,synthetic
V00278,426.907974,1.57794193,standard,True,synthetic
V00279,408.601684,1.95537873,standard,True,synthetic
V00280,458.175871,1.15691272,preferred,False,synthetic
V00281,881.741173,0.63474305,commercial,True,synthetic
V00282,613.768238,1.11317664,standard,False,synthetic
V00283,1927.646758,0.91550025,preferred,True,synthetic
V00284,2701.92978,1.02819372,standard,True,synthetic
V00285,1251.166562,0.86624919,standard,True,synthetic
V00286,1040.340962,0.72540776,commercial,True,synthetic
V00287,500.385822,0.57803953,standard,True,synthetic
V00288,552.227062,1.43753304,preferred,True,synthetic
V00289,936.299364,0.72712319,standard,False,synthetic
V00290,871.299632,1.1146672,commercial,False,synthetic
V00291,686.427728,0.65835797,preferred,True,synthetic
V00292,1272.446188,0.85638626,standard,True,synthetic
V00293,1388.006254,1.22282755,standard,True,synthetic
V00294,771.852864,0.97804024,standard,True,synthetic
V00295,500.010236,0.9154968,commercial,True,synthetic
V00296,250.0,0.9487953,standard,False,synthetic
V00297,337.622604,0.6920021,preferred,True,synthetic
V00298,347.187872,0.93833411,standard,False,synthetic
V00299,350.542243,0.88795512,preferred,False,synthetic
V00300,1175.215214,0.77258462,standard,True,synthetic
V00301,621.875153,1.06065091,standard,False,synthetic
V00302,2327.223883,1.5918615,preferred,True,synthetic
V00303,1821.124682,0.74885407,standard,True,synthetic
V00304,752.697811,0.89534888,standard,True,synthetic
V00305,531.990166,1.02515829,commercial,True,synthetic
V00306,469.981807,3.2,standard,True,synthetic
V00307,729.049272,1.17305209,standard,False,synthetic
V00308,1544.9601,0.66557457,standard,True,synthetic
V00309,350.201985,1.12574141,preferred,True,synthetic
V00310,548.968673,0.87261775,standard,True,synthetic
V00311,1084.258318,2.01338181,standard,False,synthetic
V00312,470.685574,0.76688699,preferred,False,synthetic
V00313,446.595997,1.27841897,commercial,False,synthetic
V00314,711.145194,1.16471537,preferred,True,synthetic
V00315,892.918455,0.60245195,standard,True,synthetic
V00316,505.272061,0.57120362,standard,True,synthetic
V00317,339.377076,0.97985802,standard,False,synthetic
V00318,540.508718,1.17190135,preferred,True,synthetic
V00319,997.028131,1.59621597,standard,False,synthetic
V00320,374.284325,0.65465864,standard,True,synthetic
V00321,534.498392,1.06205099,standard,True,synthetic
V00322,250.0,0.99682093,standard,False,synthetic
V00323,732.178027,1.11437803,commercial,True,synthetic
V00324,780.173803,0.98202449,preferred,True,synthetic
V00325,366.964662,1.59670879,standard,True,synthetic
V00326,753.3349,1.24715595,commercial,False,synthetic
V00327,2167.995768,1.65715678,standard,True,synthetic
V00328,1133.634917,1.33306327,preferred,True,synthetic
V00329,1275.128932,1.3997618,standard,True,synthetic
V00330,406.947246,0.92645156,commercial,False,synthetic
V00331,831.033461,0.79991155,standard,True,synthetic
V00332,2139.145805,0.76117642,standard,True,synthetic
V00333,315.121207,1.74825037,preferred,True,synthetic
V00334,482.002353,0.99489291,standard,True,synthetic
V00335,250.0,0.8169566,standard,True,synthetic
V00336,415.625977,0.81303476,standard,True,synthetic
V00337,545.162186,0.80774559,preferred,True,synthetic
V00338,1052.64183,0.70278124,standard,True,synthetic
V00339,1115.594143,1.41040576,preferred,True,synthetic
V00340,349.130313,0.97061768,standard,True,synthetic
V00341,866.534926,0.62164958,standard,False,synthetic
V00342,411.310685,0.83398882,standard,False,synthetic
V00343,1149.854164,2.17774091,commercial,False,synthetic
V00344,886.037739,0.71085799,standard,True,synthetic
V00345,857.254997,1.07242385,standard,False,synthetic
V00346,505.81236,0.79439887,standard,True,synthetic
V00347,820.434122,0.99340279,standard,True,synthetic
V00348,735.980437,1.52490829,standard,True,synthetic
V00349,544.559527,2.10692398,standard,True,synthetic
V00350,724.643741,0.77142431,standard,False,synthetic
V00351,642.211871,0.91492686,standard,False,synthetic
V00352,1674.670723,1.81076389,commercial,True,synthetic
V00353,580.644508,0.77117042,standard,False,synthetic
V00354,982.883398,0.59628524,standard,True,synthetic
V00355,427.516035,1.04415662,standard,False,synthetic
V00356,250.0,1.0030254,preferred,False,synthetic
V00357,320.846722,1.02581278,preferred,True,synthetic
V00358,1086.31714,1.04966336,preferred,False,synthetic
V00359,587.594177,1.35876856,standard,False,synthetic
V00360,611.436109,0.90281958,standard,True,synthetic
V00361,1653.421604,0.99173575,standard,False,synthetic
V00362,782.615526,1.01006038,standard,True,synthetic
V00363,676.013957,0.94629341,standard,True,synthetic
V00364,1266.054735,0.82943778,standard,True,synthetic
V00365,1188.133754,1.56540146,standard,True,synthetic
V00366,852.911444,0.91157071,standard,False,synthetic
V00367,1883.955178,1.43201794,standard,False,synthetic
V00368,365.699045,1.18979352,preferred,True,synthetic
V00369,561.918159,1.65287558,standard,True,synthetic
V00370,675.939432,1.08409031,standard,True,synthetic
V00371,943.232945,0.84077866,standard,True,synthetic
V00372,1179.263785,0.85982265,standard,True,synthetic
V00373,366.225282,0.826475,standard,True,synthetic
V00374,769.217099,1.7115359,preferred,True,synthetic
V00375,279.500609,1.37612246,standard,True,synthetic
V00376,544.239256,0.87999105,standard,True,synthetic
V00377,454.851533,0.85490785,commercial,True,synthetic
V00378,858.3575,0.97393469,standard,False,synthetic
V00379,385.702373,1.41221709,standard,True,synthetic
V00380,635.282261,1.06668245,standard,False,synthetic
V00381,441.990524,0.66494234,standard,False,synthetic
V00382,250.0,0.52975269,standard,True,synthetic
V00383,1360.730754,1.47551018,preferred,True,synthetic
V00384,1154.537146,0.81431001,standard,True,synthetic
V00385,1043.559842,0.79752988,preferred,False,synthetic
V00386,508.116004,1.95014141,preferred,True,synthetic
V00387,757.022122,0.77571188,preferred,True,synthetic
V00388,684.011247,1.47774724,commercial,True,synthetic
V00389,1888.30377,0.48571054,standard,True,synthetic
V00390,1279.833607,0.69414199,standard,True,synthetic
V00391,1507.68036,1.51512055,standard,True,synthetic
V00392,601.439148,0.50954665,standard,True,synthetic
V00393,1855.871557,0.61925922,standard,True,synthetic
V00394,729.382212,0.52552832,standard,True,synthetic
V00395,1834.068886,1.09708025,preferred,False,synthetic
V00396,355.265958,1.2805934,standard,True,synthetic
V00397,1183.138372,1.01178987,preferred,True,synthetic
V00398,402.069653,0.48690461,standard,False,synthetic
V00399,1181.264953,1.7629663,standard,False,synthetic
V00400,491.527836,1.20800973,standard,True,synthetic
V00401,1242.400302,1.18240444,preferred,True,synthetic
V00402,402.613208,0.87015382,standard,False,synthetic
V00403,902.733781,1.14386609,standard,True,synthetic
V00404,985.081756,0.75084452,commercial,True,synthetic
V00405,954.549295,0.5533893,preferred,True,synthetic
V00406,458.739224,1.19359623,standard,True,synthetic
V00407,1097.973022,0.98315181,standard,False,synthetic
V00408,856.966425,0.84203892,preferred,True,synthetic
V00409,511.175492,1.83237836,preferred,True,synthetic
V00410,955.675452,0.95325671,preferred,False,synthetic
V00411,555.051477,1.39891661,standard,True,synthetic
V00412,467.853055,0.97984193,commercial,True,synthetic
V00413,552.657331,0.77044664,standard,True,synthetic
V00414,958.546639,0.91567491,standard,True,synthetic
V00415,755.703645,1.47089924,commercial,True,synthetic
V00416,408.336492,1.08724799,preferred,True,synthetic
V00417,447.916395,1.07205739,commercial,True,synthetic
V00418,1449.434304,0.88974513,commercial,True,synthetic
V00419,539.377431,1.06489473,standard,True,synthetic
V00420,1718.275823,1.11916266,standard,True,synthetic
V00421,310.848595,0.88023438,standard,True,synthetic
V00422,1555.98788,1.05880989,standard,False,synthetic
V00423,398.513408,1.50528099,standard,True,synthetic
V00424,651.497766,1.26969622,standard,True,synthetic
V00425,991.57265,0.85799716,standard,False,synthetic
V00426,250.0,1.21390393,standard,False,synthetic
V00427,737.396797,0.91944958,preferred,False,synthetic
V00428,1127.170965,1.3355851,standard,False,synthetic
V00429,1497.296395,1.98795246,preferred,True,synthetic
V00430,1326.056503,0.9884217,standard,False,synthetic
V00431,853.61763,1.18611957,standard,True,synthetic
V00432,666.001823,0.9784746,standard,True,synthetic
V00433,471.120935,1.12190887,commercial,False,synthetic
V00434,455.235697,1.26389053,preferred,False,synthetic
V00435,766.972399,1.17794285,standard,True,synthetic
V00436,790.59501,0.53690148,preferred,True,synthetic
V00437,683.37104,0.95141506,preferred,False,synthetic
V00438,676.478686,0.92713016,preferred,True,synthetic
V00439,455.556874,0.94026115,standard,True,synthetic
V00440,1307.327995,0.96975755,preferred,True,synthetic
V00441,1292.382041,1.20636805,commercial,True,synthetic
V00442,1354.673718,0.93212605,standard,False,synthetic
V00443,710.581323,1.5577676,standard,False,synthetic
V00444,646.402169,0.9306051,commercial,True,synthetic
V00445,797.364093,1.20619896,standard,True,synthetic
V00446,1254.230634,0.90687575,standard,True,synthetic
V00447,419.428157,0.86837563,standard,True,synthetic
V00448,543.908856,0.6274985,preferred,True,synthetic
V00449,644.049392,0.70260562,preferred,True,synthetic
V00450,1131.332063,0.73253082,standard,True,synthetic
V00451,475.878204,0.61603233,preferred,True,synthetic
V00452,484.604038,1.35904194,commercial,False,synthetic
V00453,644.75313,0.98452122,standard,True,synthetic
V00454,381.609128,0.90259582,preferred,False,synthetic
V00455,1484.97104,0.99773121,preferred,True,synthetic
V00456,985.737943,1.73886907,standard,True,synthetic
V00457,660.651311,0.77652489,standard,True,synthetic
V00458,991.504112,0.98856952,standard,False,synthetic
V00459,1480.626063,1.48817429,preferred,True,synthetic
V00460,515.645212,0.80032883,standard,True,synthetic
V00461,380.800462,1.02445405,standard,True,synthetic
V00462,647.201515,0.77038699,standard,False,synthetic
V00463,250.0,0.87362974,preferred,True,synthetic
V00464,427.112304,1.59521016,standard,True,synthetic
V00465,805.617357,1.24993005,standard,True,synthetic
V00466,404.024253,1.17582181,preferred,False,synthetic
V00467,403.32136,0.9907254,standard,True,synthetic
V00468,471.17465,0.64871439,standard,True,synthetic
V00469,349.767852,1.23654566,commercial,False,synthetic
V00470,854.57314,0.4,standard,True,synthetic
V00471,526.884845,1.27199206,standard,True,synthetic
V00472,356.238805,1.8007633,preferred,True,synthetic
V00473,827.84155,1.13500962,standard,False,synthetic
V00474,769.513183,0.6318025,standard,False,synthetic
V00475,771.638374,0.96110682,preferred,True,synthetic
V00476,702.635182,0.70533711,standard,False,synthetic
V00477,334.406057,1.24649974,standard,True,synthetic
V00478,404.852687,0.98945563,standard,True,synthetic
V00479,2200.510902,0.81568234,standard,True,synthetic
V00480,761.059179,0.97052352,standard,True,synthetic
V00481,951.713711,0.63591936,preferred,True,synthetic
V00482,760.060258,1.28255636,standard,False,synthetic
V00483,1280.953775,0.96538674,standard,False,synthetic
V00484,451.382295,0.93660842,standard,True,synthetic
V00485,403.40188,0.87092535,standard,True,synthetic
V00486,596.956195,0.59372777,standard,True,synthetic
V00487,382.072888,1.4985539,standard,True,synthetic
V00488,1233.407716,0.58289956,commercial,False,synthetic
V00489,654.623784,0.68144199,standard,True,synthetic
V00490,460.608767,1.34381614,standard,True,synthetic
V00491,268.884758,0.84088421,standard,False,synthetic
V00492,985.733367,1.03609042,preferred,True,synthetic
V00493,971.514361,0.78060497,standard,True,synthetic
V00494,514.687812,1.58526389,standard,True,synthetic
V00495,846.560239,1.0718911,standard,False,synthetic
V00496,657.349941,0.96568083,standard,False,synthetic
V00497,727.974234,0.84738768,standard,True,synthetic
V00498,359.826772,1.06959727,preferred,True,synthetic
V00499,1496.164685,1.1654943,standard,False,synthetic
V00500,538.116424,1.06791598,standard,True,synthetic
V00501,579.283981,2.85732598,standard,True,synthetic
V00502,392.370222,1.30303037,preferred,True,synthetic
V00503,850.478172,0.5474173,standard,True,synthetic
V00504,1205.921458,0.80868602,standard,True,synthetic
V00505,536.035462,0.83152391,standard,True,synthetic
V00506,1589.809388,1.15260452,standard,True,synthetic
V00507,671.633643,0.95416706,standard,False,synthetic
V00508,809.15428,1.40592747,preferred,False,synthetic
V00509,1212.382943,0.69907093,standard,True,synthetic
V00510,781.548014,1.09587974,preferred,True,synthetic
V00511,513.875616,0.97208398,standard,True,synthetic
V00512,1263.097773,1.52621245,preferred,False,synthetic
V00513,2537.200181,0.99634193,standard,False,synthetic
V00514,250.0,0.83282952,standard,True,synthetic
V00515,961.412013,0.85336798,preferred,False,synthetic
V00516,1194.295735,1.05896118,standard,True,synthetic
V00517,813.9217,0.70948446,standard,True,synthetic
V00518,999.456506,1.39707668,preferred,True,synthetic
V00519,969.687145,1.64209313,preferred,False,synthetic
V00520,595.902768,1.09666052,preferred,False,synthetic
V00521,1881.289999,1.27916265,preferred,False,synthetic
V00522,1672.787112,1.17304599,standard,True,synthetic
V00523,1522.956724,0.5781602,preferred,True,synthetic
V00524,1579.863447,1.01827887,commercial,True,synthetic
V00525,693.102776,1.30638406,standard,True,synthetic
V00526,786.339595,1.40268244,standard,False,synthetic
V00527,1063.194538,1.07034148,standard,True,synthetic
V00528,949.323873,0.78426656,standard,False,synthetic
V00529,638.072711,1.59357531,standard,True,synthetic
V00530,406.319001,0.994579,standard,True,synthetic
V00531,378.842577,1.41240435,standard,True,synthetic
V00532,254.018999,0.54486734,preferred,True,synthetic
V00533,376.271353,1.75987475,preferred,False,synthetic
V00534,839.621031,0.60010188,preferred,True,synthetic
V00535,807.871194,1.08179381,standard,True,synthetic
V00536,392.468913,0.99037475,standard,False,synthetic
V00537,879.962111,0.75815986,standard,True,synthetic
V00538,468.59067,0.73164318,standard,True,synthetic
V00539,1178.556369,0.89864869,standard,True,synthetic
V00540,2784.475848,0.78613894,standard,True,synthetic
V00541,728.333545,1.11765525,preferred,True,synthetic
V00542,558.046809,1.85490422,standard,False,synthetic
V00543,444.739734,1.28448688,standard,True,synthetic
V00544,690.688762,1.30181018,standard,False,synthetic
