policy_id,vehicle_id,coverage_type,property_limit_million_toman,bodily_limit_million_toman,insured_value_million_toman,deductible_million_toman,one_month_exposure,risk_score,segment,empirical_claim_probability,mean_paid_loss_million_toman,record_type
OD00024,V00024,own_damage,,,1303.153083,5.0,1.0,1.12813056,standard,0.008,20.90708314,synthetic
TP00025,V00025,third_party_liability,200.0,1000.0,,0.0,1.0,1.03077185,standard,0.007,33.94101627,synthetic
TP00026,V00026,third_party_liability,100.0,1000.0,,0.0,1.0,1.48713184,standard,0.005,47.29482124,synthetic
OD00026,V00026,own_damage,,,966.754384,5.0,1.0,1.48713184,standard,0.014,19.72059182,synthetic
TP00027,V00027,third_party_liability,200.0,1000.0,,0.0,1.0,1.17916899,standard,0.008,118.59737485,synthetic
TP00028,V00028,third_party_liability,200.0,1000.0,,0.0,1.0,1.14597101,preferred,0.003,226.41561669,synthetic
OD00028,V00028,own_damage,,,895.344509,5.0,1.0,1.14597101,preferred,0.008,27.97305989,synthetic
TP00029,V00029,third_party_liability,200.0,1500.0,,0.0,1.0,0.68365176,standard,0.003,77.48220831,synthetic
OD00029,V00029,own_damage,,,990.817916,5.0,1.0,0.68365176,standard,0.007,29.78483323,synthetic
TP00030,V00030,third_party_liability,400.0,1000.0,,0.0,1.0,0.45898164,preferred,0.002,188.95668578,synthetic
OD00030,V00030,own_damage,,,431.07963,5.0,1.0,0.45898164,preferred,0.004,25.92238128,synthetic
TP00031,V00031,third_party_liability,100.0,1000.0,,0.0,1.0,0.97323126,preferred,0.005,59.7192646,synthetic
TP00032,V00032,third_party_liability,200.0,1500.0,,0.0,1.0,2.46127463,preferred,0.006,98.31126476,synthetic
OD00032,V00032,own_damage,,,758.516875,5.0,1.0,2.46127463,preferred,0.019,30.42920227,synthetic
TP00033,V00033,third_party_liability,400.0,1000.0,,0.0,1.0,0.88792811,preferred,0.003,88.40902368,synthetic
TP00034,V00034,third_party_liability,100.0,1000.0,,0.0,1.0,1.15680369,standard,0.001,33.37565849,synthetic
TP00035,V00035,third_party_liability,200.0,1000.0,,0.0,1.0,0.67389082,standard,0.003,110.74412097,synthetic
OD00035,V00035,own_damage,,,615.184597,5.0,1.0,0.67389082,standard,0.008,16.98609764,synthetic
TP00036,V00036,third_party_liability,400.0,1000.0,,0.0,1.0,0.63883681,standard,0.003,66.42927799,synthetic
OD00036,V00036,own_damage,,,399.968419,5.0,1.0,0.63883681,standard,0.008,40.16142773,synthetic
TP00037,V00037,third_party_liability,200.0,1000.0,,0.0,1.0,1.10147345,standard,0.007,54.4587253,synthetic
OD00037,V00037,own_damage,,,586.357358,5.0,1.0,1.10147345,standard,0.014,26.32104681,synthetic
TP00038,V00038,third_party_liability,200.0,1000.0,,0.0,1.0,0.72997515,standard,0.004,50.09522972,synthetic
TP00039,V00039,third_party_liability,200.0,1000.0,,0.0,1.0,0.80500809,standard,0.006,75.07593717,synthetic
OD00039,V00039,own_damage,,,1490.993527,5.0,1.0,0.80500809,standard,0.015,33.63983627,synthetic
TP00040,V00040,third_party_liability,200.0,1000.0,,0.0,1.0,0.85462831,standard,0.001,22.59878253,synthetic
OD00040,V00040,own_damage,,,684.41077,5.0,1.0,0.85462831,standard,0.005,38.72074439,synthetic
TP00041,V00041,third_party_liability,400.0,1000.0,,0.0,1.0,0.51866356,standard,0.005,133.65909479,synthetic
TP00042,V00042,third_party_liability,200.0,1000.0,,0.0,1.0,1.99365572,preferred,0.008,113.70981802,synthetic
OD00042,V00042,own_damage,,,727.993971,5.0,1.0,1.99365572,preferred,0.017,30.9074006,synthetic
TP00043,V00043,third_party_liability,100.0,1000.0,,0.0,1.0,1.0827851,commercial,0.002,62.41894628,synthetic
OD00043,V00043,own_damage,,,638.827643,5.0,1.0,1.0827851,commercial,0.011,22.1245584,synthetic
TP00044,V00044,third_party_liability,100.0,1000.0,,0.0,1.0,0.7262219,commercial,0.002,33.52864504,synthetic
TP00045,V00045,third_party_liability,100.0,1000.0,,0.0,1.0,1.59267648,commercial,0.004,61.73339219,synthetic
TP00046,V00046,third_party_liability,400.0,1000.0,,0.0,1.0,0.80613235,commercial,0.002,52.21823605,synthetic
OD00046,V00046,own_damage,,,353.210675,5.0,1.0,0.80613235,commercial,0.006,28.38919051,synthetic
TP00047,V00047,third_party_liability,200.0,1000.0,,0.0,1.0,1.04148385,standard,0.003,201.0488992,synthetic
OD00047,V00047,own_damage,,,492.824347,5.0,1.0,1.04148385,standard,0.007,18.8956974,synthetic
TP00048,V00048,third_party_liability,200.0,1000.0,,0.0,1.0,1.24691952,standard,0.009,72.91559308,synthetic
TP00049,V00049,third_party_liability,400.0,1000.0,,0.0,1.0,1.53371468,preferred,0.006,192.64659208,synthetic
OD00049,V00049,own_damage,,,619.170321,5.0,1.0,1.53371468,preferred,0.016,27.10823655,synthetic
TP00050,V00050,third_party_liability,200.0,1000.0,,0.0,1.0,0.82296592,preferred,0.004,57.38754443,synthetic
TP00051,V00051,third_party_liability,400.0,1000.0,,0.0,1.0,0.96605768,standard,0.005,96.60244954,synthetic
OD00051,V00051,own_damage,,,563.927046,5.0,1.0,0.96605768,standard,0.01,30.28587907,synthetic
TP00052,V00052,third_party_liability,200.0,1500.0,,0.0,1.0,0.84154565,standard,0.004,33.1669039,synthetic
TP00053,V00053,third_party_liability,200.0,1000.0,,0.0,1.0,0.75429583,commercial,0.004,50.44249307,synthetic
OD00053,V00053,own_damage,,,1166.693444,5.0,1.0,0.75429583,commercial,0.007,15.47993875,synthetic
TP00054,V00054,third_party_liability,200.0,1500.0,,0.0,1.0,1.0231009,standard,0.008,55.43423149,synthetic
OD00054,V00054,own_damage,,,581.308931,5.0,1.0,1.0231009,standard,0.013,35.75993866,synthetic
TP00055,V00055,third_party_liability,100.0,1000.0,,0.0,1.0,0.81048083,standard,0.004,93.37203715,synthetic
OD00055,V00055,own_damage,,,309.841387,5.0,1.0,0.81048083,standard,0.007,26.67439584,synthetic
TP00056,V00056,third_party_liability,100.0,1500.0,,0.0,1.0,1.12904795,preferred,0.003,50.90011351,synthetic
OD00056,V00056,own_damage,,,499.426942,5.0,1.0,1.12904795,preferred,0.009,21.82629631,synthetic
TP00057,V00057,third_party_liability,200.0,1000.0,,0.0,1.0,1.18844384,preferred,0.008,68.75722182,synthetic
OD00057,V00057,own_damage,,,715.791849,5.0,1.0,1.18844384,preferred,0.014,28.72568084,synthetic
TP00058,V00058,third_party_liability,200.0,1000.0,,0.0,1.0,1.11642853,standard,0.004,78.02192451,synthetic
OD00058,V00058,own_damage,,,654.90484,5.0,1.0,1.11642853,standard,0.011,48.82818178,synthetic
TP00059,V00059,third_party_liability,200.0,1000.0,,0.0,1.0,1.01886859,standard,0.004,228.93898694,synthetic
OD00059,V00059,own_damage,,,405.704162,5.0,1.0,1.01886859,standard,0.011,21.10921924,synthetic
TP00060,V00060,third_party_liability,400.0,1000.0,,0.0,1.0,1.37691749,standard,0.01,98.15008362,synthetic
TP00061,V00061,third_party_liability,400.0,1000.0,,0.0,1.0,0.92916735,commercial,0.001,32.18813873,synthetic
OD00061,V00061,own_damage,,,375.843614,5.0,1.0,0.92916735,commercial,0.005,21.55651985,synthetic
TP00062,V00062,third_party_liability,400.0,1000.0,,0.0,1.0,0.49266672,commercial,0.003,82.68170814,synthetic
OD00062,V00062,own_damage,,,704.70635,5.0,1.0,0.49266672,commercial,0.007,17.3627274,synthetic
TP00063,V00063,third_party_liability,200.0,1000.0,,0.0,1.0,0.60894786,standard,0.003,48.45494645,synthetic
TP00064,V00064,third_party_liability,100.0,1500.0,,0.0,1.0,1.00355585,preferred,0.002,79.58055074,synthetic
OD00064,V00064,own_damage,,,500.312974,5.0,1.0,1.00355585,preferred,0.008,19.76310935,synthetic
TP00065,V00065,third_party_liability,100.0,1000.0,,0.0,1.0,1.53850597,standard,0.007,66.03023909,synthetic
OD00065,V00065,own_damage,,,547.077219,5.0,1.0,1.53850597,standard,0.018,37.82610912,synthetic
TP00066,V00066,third_party_liability,400.0,1500.0,,0.0,1.0,1.20202741,preferred,0.007,103.52188726,synthetic
OD00066,V00066,own_damage,,,680.211852,5.0,1.0,1.20202741,preferred,0.011,17.46955714,synthetic
TP00067,V00067,third_party_liability,400.0,1000.0,,0.0,1.0,0.66749231,commercial,0.005,53.70885782,synthetic
OD00067,V00067,own_damage,,,481.679325,5.0,1.0,0.66749231,commercial,0.007,22.46607058,synthetic
TP00068,V00068,third_party_liability,400.0,1000.0,,0.0,1.0,0.99763543,preferred,0.002,36.17432228,synthetic
OD00068,V00068,own_damage,,,584.456268,5.0,1.0,0.99763543,preferred,0.009,24.03382368,synthetic
TP00069,V00069,third_party_liability,200.0,1000.0,,0.0,1.0,0.68558469,standard,0.002,126.96425652,synthetic
TP00070,V00070,third_party_liability,100.0,1000.0,,0.0,1.0,1.10200981,standard,0.001,66.35750681,synthetic
OD00070,V00070,own_damage,,,1063.835395,5.0,1.0,1.10200981,standard,0.005,27.35720181,synthetic
TP00071,V00071,third_party_liability,100.0,1500.0,,0.0,1.0,1.00152412,preferred,0.002,35.78948653,synthetic
TP00072,V00072,third_party_liability,200.0,1000.0,,0.0,1.0,1.07496605,standard,0.004,111.37821038,synthetic
OD00072,V00072,own_damage,,,1029.293242,5.0,1.0,1.07496605,standard,0.016,25.0317127,synthetic
TP00073,V00073,third_party_liability,400.0,1000.0,,0.0,1.0,1.49462873,standard,0.006,106.70395556,synthetic
TP00074,V00074,third_party_liability,200.0,1000.0,,0.0,1.0,1.37637233,preferred,0.004,70.82054452,synthetic
TP00075,V00075,third_party_liability,200.0,1000.0,,0.0,1.0,0.79114293,standard,0.005,112.21234946,synthetic
OD00075,V00075,own_damage,,,727.930008,5.0,1.0,0.79114293,standard,0.007,29.96126217,synthetic
TP00076,V00076,third_party_liability,200.0,1000.0,,0.0,1.0,1.64483104,standard,0.004,84.19522205,synthetic
OD00076,V00076,own_damage,,,1290.791399,5.0,1.0,1.64483104,standard,0.01,21.88459509,synthetic
TP00077,V00077,third_party_liability,200.0,1500.0,,0.0,1.0,0.73539471,standard,0.003,113.52689527,synthetic
OD00077,V00077,own_damage,,,698.529054,5.0,1.0,0.73539471,standard,0.008,27.45054291,synthetic
TP00078,V00078,third_party_liability,100.0,1000.0,,0.0,1.0,0.93324015,preferred,0.0,0.0,synthetic
OD00078,V00078,own_damage,,,641.03575,5.0,1.0,0.93324015,preferred,0.008,26.18466508,synthetic
TP00079,V00079,third_party_liability,100.0,1000.0,,0.0,1.0,0.90053923,preferred,0.005,98.05101615,synthetic
OD00079,V00079,own_damage,,,354.898251,5.0,1.0,0.90053923,preferred,0.011,19.60996155,synthetic
TP00080,V00080,third_party_liability,200.0,1000.0,,0.0,1.0,1.2156972,standard,0.002,43.45796809,synthetic
OD00080,V00080,own_damage,,,1853.094024,5.0,1.0,1.2156972,standard,0.006,38.97424411,synthetic
TP00081,V00081,third_party_liability,100.0,1500.0,,0.0,1.0,1.12031699,preferred,0.005,140.28614719,synthetic
TP00082,V00082,third_party_liability,400.0,1000.0,,0.0,1.0,1.28120234,standard,0.004,97.91454351,synthetic
OD00082,V00082,own_damage,,,460.256327,5.0,1.0,1.28120234,standard,0.015,24.6430684,synthetic
TP00083,V00083,third_party_liability,200.0,1000.0,,0.0,1.0,0.52375327,standard,0.001,55.06026126,synthetic
OD00083,V00083,own_damage,,,1508.735937,5.0,1.0,0.52375327,standard,0.003,27.5571656,synthetic
TP00084,V00084,third_party_liability,400.0,1000.0,,0.0,1.0,1.04371006,commercial,0.004,68.19958645,synthetic
OD00084,V00084,own_damage,,,915.968702,5.0,1.0,1.04371006,commercial,0.014,20.83646611,synthetic
TP00085,V00085,third_party_liability,200.0,1500.0,,0.0,1.0,0.95931278,preferred,0.003,81.85032876,synthetic
TP00086,V00086,third_party_liability,200.0,1000.0,,0.0,1.0,0.96442122,commercial,0.002,100.12544589,synthetic
OD00086,V00086,own_damage,,,703.84584,5.0,1.0,0.96442122,commercial,0.007,36.09782478,synthetic
TP00087,V00087,third_party_liability,200.0,1500.0,,0.0,1.0,0.72309502,preferred,0.003,55.83515995,synthetic
OD00087,V00087,own_damage,,,747.405135,5.0,1.0,0.72309502,preferred,0.006,24.60488838,synthetic
TP00088,V00088,third_party_liability,100.0,1000.0,,0.0,1.0,0.99537356,preferred,0.002,67.51957409,synthetic
TP00089,V00089,third_party_liability,100.0,1500.0,,0.0,1.0,0.88369411,commercial,0.003,47.20365761,synthetic
OD00089,V00089,own_damage,,,705.101003,5.0,1.0,0.88369411,commercial,0.009,23.50074078,synthetic
TP00090,V00090,third_party_liability,100.0,1000.0,,0.0,1.0,0.82691555,preferred,0.002,61.84134308,synthetic
OD00090,V00090,own_damage,,,795.595033,5.0,1.0,0.82691555,preferred,0.007,18.60227746,synthetic
TP00091,V00091,third_party_liability,100.0,1000.0,,0.0,1.0,0.98768206,preferred,0.001,12.61785972,synthetic
OD00091,V00091,own_damage,,,1039.843324,5.0,1.0,0.98768206,preferred,0.01,18.56903131,synthetic
TP00092,V00092,third_party_liability,200.0,1000.0,,0.0,1.0,0.61183578,preferred,0.001,35.50488112,synthetic
OD00092,V00092,own_damage,,,587.153305,5.0,1.0,0.61183578,preferred,0.003,41.53494329,synthetic
TP00093,V00093,third_party_liability,200.0,1500.0,,0.0,1.0,0.97998631,preferred,0.003,98.84795228,synthetic
OD00093,V00093,own_damage,,,638.842106,5.0,1.0,0.97998631,preferred,0.008,37.42453751,synthetic
TP00094,V00094,third_party_liability,200.0,1500.0,,0.0,1.0,1.28082024,commercial,0.009,94.94579838,synthetic
OD00094,V00094,own_damage,,,676.749225,5.0,1.0,1.28082024,commercial,0.014,25.09782669,synthetic
TP00095,V00095,third_party_liability,400.0,1000.0,,0.0,1.0,0.70480324,standard,0.002,97.10598055,synthetic
TP00096,V00096,third_party_liability,200.0,1000.0,,0.0,1.0,0.66773266,commercial,0.003,75.72205672,synthetic
OD00096,V00096,own_damage,,,768.850275,5.0,1.0,0.66773266,commercial,0.008,28.937002,synthetic
TP00097,V00097,third_party_liability,200.0,1500.0,,0.0,1.0,1.61996035,preferred,0.006,93.29586426,synthetic
OD00097,V00097,own_damage,,,476.937399,5.0,1.0,1.61996035,preferred,0.012,25.00406319,synthetic
TP00098,V00098,third_party_liability,400.0,1000.0,,0.0,1.0,0.49977643,standard,0.003,96.38798058,synthetic
TP00099,V00099,third_party_liability,200.0,1000.0,,0.0,1.0,0.8095886,standard,0.002,106.67787164,synthetic
OD00099,V00099,own_damage,,,296.393092,5.0,1.0,0.8095886,standard,0.005,15.63470919,synthetic
TP00100,V00100,third_party_liability,400.0,1000.0,,0.0,1.0,0.89731278,standard,0.004,112.1791347,synthetic
OD00100,V00100,own_damage,,,1690.858664,5.0,1.0,0.89731278,standard,0.011,32.82934086,synthetic
TP00101,V00101,third_party_liability,100.0,1000.0,,0.0,1.0,2.28066498,standard,0.004,185.23255449,synthetic
OD00101,V00101,own_damage,,,761.622327,5.0,1.0,2.28066498,standard,0.013,32.71000412,synthetic
TP00102,V00102,third_party_liability,400.0,1500.0,,0.0,1.0,0.89036534,standard,0.001,12.97832306,synthetic
TP00103,V00103,third_party_liability,100.0,1000.0,,0.0,1.0,0.73731545,standard,0.003,34.0232975,synthetic
OD00103,V00103,own_damage,,,714.043287,5.0,1.0,0.73731545,standard,0.005,21.88196039,synthetic
TP00104,V00104,third_party_liability,100.0,1000.0,,0.0,1.0,0.94471946,standard,0.006,54.33822054,synthetic
TP00105,V00105,third_party_liability,200.0,1000.0,,0.0,1.0,0.68440098,preferred,0.001,96.49653413,synthetic
OD00105,V00105,own_damage,,,622.357341,5.0,1.0,0.68440098,preferred,0.005,33.02803322,synthetic
TP00106,V00106,third_party_liability,200.0,1500.0,,0.0,1.0,1.51278246,standard,0.012,108.14433505,synthetic
OD00106,V00106,own_damage,,,804.519246,5.0,1.0,1.51278246,standard,0.023,29.45159116,synthetic
TP00107,V00107,third_party_liability,400.0,1500.0,,0.0,1.0,0.91406863,standard,0.003,94.80293196,synthetic
OD00107,V00107,own_damage,,,845.23547,5.0,1.0,0.91406863,standard,0.007,36.79440804,synthetic
TP00108,V00108,third_party_liability,200.0,1500.0,,0.0,1.0,0.7361878,preferred,0.005,87.60590278,synthetic
TP00109,V00109,third_party_liability,200.0,1000.0,,0.0,1.0,1.00622747,commercial,0.002,102.22347697,synthetic
OD00109,V00109,own_damage,,,487.795511,5.0,1.0,1.00622747,commercial,0.009,32.23491508,synthetic
TP00110,V00110,third_party_liability,200.0,1000.0,,0.0,1.0,2.1691782,standard,0.008,149.3375672,synthetic
OD00110,V00110,own_damage,,,1079.038505,5.0,1.0,2.1691782,standard,0.019,25.36486632,synthetic
TP00111,V00111,third_party_liability,200.0,1000.0,,0.0,1.0,0.93527678,standard,0.002,202.27512462,synthetic
OD00111,V00111,own_damage,,,1756.656944,5.0,1.0,0.93527678,standard,0.006,15.047969,synthetic
TP00112,V00112,third_party_liability,100.0,1000.0,,0.0,1.0,0.48439079,commercial,0.003,32.20706709,synthetic
OD00112,V00112,own_damage,,,1333.444614,5.0,1.0,0.48439079,commercial,0.005,15.6986481,synthetic
TP00113,V00113,third_party_liability,400.0,1000.0,,0.0,1.0,1.74529932,preferred,0.007,59.015155,synthetic
OD00113,V00113,own_damage,,,740.759422,5.0,1.0,1.74529932,preferred,0.017,27.00170513,synthetic
TP00114,V00114,third_party_liability,100.0,1500.0,,0.0,1.0,0.57513349,preferred,0.004,86.86862156,synthetic
TP00115,V00115,third_party_liability,400.0,1000.0,,0.0,1.0,0.78222564,standard,0.004,288.52406127,synthetic
OD00115,V00115,own_damage,,,363.956074,5.0,1.0,0.78222564,standard,0.007,17.64367456,synthetic
TP00116,V00116,third_party_liability,200.0,1500.0,,0.0,1.0,0.98839348,preferred,0.002,120.64193006,synthetic
OD00116,V00116,own_damage,,,285.79056,5.0,1.0,0.98839348,preferred,0.004,23.81379275,synthetic
TP00117,V00117,third_party_liability,200.0,1500.0,,0.0,1.0,1.40768126,standard,0.009,121.62587083,synthetic
TP00118,V00118,third_party_liability,200.0,1000.0,,0.0,1.0,1.2303576,standard,0.006,107.31987733,synthetic
OD00118,V00118,own_damage,,,704.0373,5.0,1.0,1.2303576,standard,0.014,28.33519371,synthetic
TP00119,V00119,third_party_liability,200.0,1000.0,,0.0,1.0,1.16846733,standard,0.003,192.6957359,synthetic
TP00120,V00120,third_party_liability,100.0,1000.0,,0.0,1.0,0.67211952,standard,0.005,74.03806171,synthetic
TP00121,V00121,third_party_liability,200.0,1000.0,,0.0,1.0,0.77970329,standard,0.0,0.0,synthetic
TP00122,V00122,third_party_liability,400.0,1500.0,,0.0,1.0,0.61379232,preferred,0.003,63.09267977,synthetic
OD00122,V00122,own_damage,,,1233.913359,5.0,1.0,0.61379232,preferred,0.006,25.90373881,synthetic
TP00123,V00123,third_party_liability,200.0,1500.0,,0.0,1.0,1.51311138,preferred,0.008,61.8052574,synthetic
OD00123,V00123,own_damage,,,741.217313,5.0,1.0,1.51311138,preferred,0.013,28.97818767,synthetic
TP00124,V00124,third_party_liability,200.0,1000.0,,0.0,1.0,1.20531702,standard,0.003,140.11138724,synthetic
TP00125,V00125,third_party_liability,200.0,1000.0,,0.0,1.0,0.67369149,preferred,0.003,77.96421841,synthetic
OD00125,V00125,own_damage,,,702.467949,5.0,1.0,0.67369149,preferred,0.008,27.06043733,synthetic
TP00126,V00126,third_party_liability,200.0,1500.0,,0.0,1.0,1.11816841,preferred,0.003,158.42052317,synthetic
OD00126,V00126,own_damage,,,1320.080018,5.0,1.0,1.11816841,preferred,0.009,21.74893509,synthetic
TP00127,V00127,third_party_liability,200.0,1000.0,,0.0,1.0,1.6980039,preferred,0.006,101.34895596,synthetic
OD00127,V00127,own_damage,,,840.359045,5.0,1.0,1.6980039,preferred,0.017,26.88111355,synthetic
TP00128,V00128,third_party_liability,100.0,1000.0,,0.0,1.0,0.98354641,standard,0.001,25.77210868,synthetic
OD00128,V00128,own_damage,,,2132.473385,5.0,1.0,0.98354641,standard,0.006,34.41657512,synthetic
TP00129,V00129,third_party_liability,400.0,1000.0,,0.0,1.0,0.66691958,commercial,0.003,61.45861547,synthetic
TP00130,V00130,third_party_liability,200.0,1000.0,,0.0,1.0,0.66593479,standard,0.003,35.43546406,synthetic
OD00130,V00130,own_damage,,,1092.717751,5.0,1.0,0.66593479,standard,0.011,25.77328429,synthetic
TP00131,V00131,third_party_liability,200.0,1000.0,,0.0,1.0,1.40469528,standard,0.001,56.51861672,synthetic
TP00132,V00132,third_party_liability,200.0,1000.0,,0.0,1.0,0.9180267,standard,0.004,62.21833842,synthetic
OD00132,V00132,own_damage,,,868.904124,5.0,1.0,0.9180267,standard,0.009,30.22055427,synthetic
TP00133,V00133,third_party_liability,200.0,1500.0,,0.0,1.0,0.81780658,standard,0.003,61.04395621,synthetic
OD00133,V00133,own_damage,,,568.428034,5.0,1.0,0.81780658,standard,0.008,37.1647078,synthetic
TP00134,V00134,third_party_liability,200.0,1000.0,,0.0,1.0,0.61195779,preferred,0.003,194.82529198,synthetic
TP00135,V00135,third_party_liability,200.0,1000.0,,0.0,1.0,1.42602876,standard,0.005,109.39913177,synthetic
OD00135,V00135,own_damage,,,740.425764,5.0,1.0,1.42602876,standard,0.012,35.29660245,synthetic
TP00136,V00136,third_party_liability,200.0,1500.0,,0.0,1.0,1.00218118,standard,0.003,220.00781363,synthetic
TP00137,V00137,third_party_liability,200.0,1000.0,,0.0,1.0,0.98583339,standard,0.005,48.25703311,synthetic
TP00138,V00138,third_party_liability,200.0,1000.0,,0.0,1.0,0.57060184,standard,0.001,28.62975405,synthetic
OD00138,V00138,own_damage,,,1355.717299,5.0,1.0,0.57060184,standard,0.001,26.50746888,synthetic
TP00139,V00139,third_party_liability,200.0,1000.0,,0.0,1.0,0.98403752,standard,0.005,67.78182634,synthetic
OD00139,V00139,own_damage,,,1279.847601,5.0,1.0,0.98403752,standard,0.009,22.58613988,synthetic
TP00140,V00140,third_party_liability,400.0,1000.0,,0.0,1.0,0.54755579,preferred,0.002,60.06860152,synthetic
OD00140,V00140,own_damage,,,805.315355,5.0,1.0,0.54755579,preferred,0.005,17.56667712,synthetic
TP00141,V00141,third_party_liability,400.0,1500.0,,0.0,1.0,1.2356839,standard,0.007,77.5544749,synthetic
OD00141,V00141,own_damage,,,464.941474,5.0,1.0,1.2356839,standard,0.015,30.72869538,synthetic
TP00142,V00142,third_party_liability,200.0,1000.0,,0.0,1.0,0.62130135,standard,0.001,25.34385518,synthetic
OD00142,V00142,own_damage,,,635.39575,5.0,1.0,0.62130135,standard,0.002,41.30828049,synthetic
TP00143,V00143,third_party_liability,100.0,1500.0,,0.0,1.0,1.01521759,standard,0.007,77.46859856,synthetic
TP00144,V00144,third_party_liability,100.0,1000.0,,0.0,1.0,1.05714126,standard,0.002,58.029452,synthetic
OD00144,V00144,own_damage,,,393.52721,5.0,1.0,1.05714126,standard,0.006,57.30696223,synthetic
