month_id,accident_count,at_fault_own_damage_claim_count,injured_party_excess_own_damage_claim_count,third_party_liability_claim_count,total_claim_count,own_damage_paid_million_toman,third_party_property_paid_million_toman,third_party_bodily_paid_million_toman,total_insurer_paid_loss_million_toman,uncovered_property_excess_million_toman,source_row_number,source_sha256,critical_checks_pass
M0022,83,57,1,24,82,1469.8153094899726,1428.5997188665017,525.0576657485383,3423.472694105012,43.4750562241677,22,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0023,92,71,2,37,110,2055.4145833165658,2369.6664521248676,871.5216948905692,5296.6027303320025,97.15554083950144,23,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0024,110,79,0,44,123,2137.94921423979,2347.9534280268385,1284.79278791102,5770.695430177649,51.62828471789558,24,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0025,108,77,1,48,126,2192.516798354085,3001.0854571476166,1684.0320827598432,6877.634338261545,31.09141156202176,25,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0026,107,80,0,43,123,2076.3273523168114,2819.656692433895,386.43934100375327,5282.4233857544605,270.8945633689176,26,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0027,93,61,0,40,101,1654.0849387768237,2507.121833064802,1002.829146346875,5164.035918188501,132.2795745424378,27,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0028,131,87,1,54,142,2527.24371020384,3545.640994618397,620.6560356090456,6693.540740431283,342.0961127581511,28,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0029,92,62,0,34,96,1605.3887812083308,2321.1529416473895,612.11077444526,4538.65249730098,262.2854481303364,29,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0030,103,70,0,46,116,2241.8420536739695,2343.930979859774,2623.4970878422596,7209.270121376003,33.23121382507392,30,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0031,91,67,2,40,109,2090.1422611842136,2687.8588420890333,1981.6911861385438,6759.692289411791,106.00226177378312,31,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0032,110,88,0,44,132,2700.977733147765,2653.167702840132,281.78789474424,5635.933330732138,29.982229933419518,32,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0033,92,69,0,45,114,1853.8555927894047,2513.3271195048897,821.9031824065768,5189.085894700871,9.575961789043262,33,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0034,84,50,0,37,87,1252.6717126919978,3041.773943744755,627.6613517785037,4922.107008215256,105.51753728642217,34,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0035,130,99,0,46,145,2743.33850006527,2401.797327984431,817.3926037131141,5962.528431762815,66.90815966706138,35,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0036,99,73,1,49,123,2276.686422851249,3228.0325721006175,597.526710147925,6102.245705099792,98.33197770191602,36,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0037,97,68,0,38,106,1725.674245544263,2344.4235543040795,771.256081211618,4841.35388105996,0.0,37,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0038,92,61,1,43,105,1768.1953298630044,2754.8446943655745,93.79350209706655,4616.833526325645,332.24385443884773,38,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0039,100,71,0,37,108,2223.3800736085295,2311.9947129198895,787.7746582930527,5323.149444821471,324.7287811662529,39,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0040,114,81,0,43,124,2110.044815509419,2452.696830559983,613.3447583946547,5176.086404464057,369.81962411303135,40,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0041,81,56,0,26,82,1470.114240981713,1851.817231035789,648.0358142731884,3969.9672862906905,176.39995743985406,41,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0042,121,82,1,57,140,2608.1308693588917,3844.5970029517985,1359.2127117054683,7811.940584016158,61.39732261426792,42,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0043,89,68,0,30,98,1771.1173983625972,2167.858733313739,1452.8159992961773,5391.792130972513,98.57950638583497,43,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0044,95,74,0,39,113,1862.3374244921067,2159.732103074166,333.78133566360543,4355.850863229878,37.03742285216347,44,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0045,116,79,0,45,124,1857.9412904927938,3284.3973496456756,437.707077709434,5580.045717847904,474.58832045339204,45,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0046,92,65,0,45,110,1758.75898763204,2237.2575472975986,1079.0625115573414,5075.07904648698,0.0,46,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0047,86,65,1,36,102,1622.5535663583578,1889.1159905802358,1012.6694100577747,4524.338966996369,35.91202255884795,47,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0048,105,75,0,40,115,2013.9675168811802,2589.7276173680525,94.80015043853231,4698.495284687765,223.2936895688402,48,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0049,80,49,0,26,75,1468.9516439851525,2077.6556818669364,325.5399067608115,3872.1472326129006,51.52041482346851,49,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0050,107,75,1,42,118,2359.1042051985332,3029.4314282862483,1479.554914896655,6868.090548381437,661.496527459834,50,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0051,120,91,2,56,149,2608.530821666322,3137.063095096149,951.0727854920802,6696.666702254552,5.928596476418363,51,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0052,91,68,0,42,110,1595.5913983959736,2409.3432252468297,865.9777636872798,4870.912387330083,73.3154441097609,52,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0053,100,66,0,43,109,1854.7963377498006,2582.9823069295985,942.8662164924604,5380.644861171859,0.0,53,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0054,97,68,0,42,110,1754.0643783042885,3121.3525055403234,1122.1352898857854,5997.552173730397,77.0116558417503,54,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0055,109,76,1,46,123,1900.7283655212216,3558.154803893914,346.4550518376843,5805.33822125282,211.86048124797964,55,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0056,104,74,0,48,122,2088.5954608232,3056.7275488777946,1259.7587617771453,6405.08177147814,2.2162078225771467,56,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0057,100,69,0,33,102,1984.516216041118,2696.6503451662793,1009.9147441952206,5691.081305402618,270.35381156601443,57,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0058,101,70,1,45,116,1973.4481383206717,3299.879707061323,283.94175964417303,5557.2696050261675,298.8885347452782,58,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0059,87,55,0,37,92,1217.216822487765,1631.0776657054907,930.9052600236494,3779.1997482169054,55.27247779709134,59,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0060,90,70,1,35,106,2209.5812492076107,1846.920710823091,503.1736928439634,4559.675652874665,0.0,60,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0061,102,68,1,52,121,1423.8593125211205,3202.408821026275,1454.7644136110919,6081.032547158487,462.6596965818549,61,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0062,91,63,0,31,94,1615.624530482673,1612.791959427488,1255.1478102914423,4483.564300201603,0.0,62,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0063,95,66,1,36,103,1971.3204642964506,1675.8035287144842,369.3432897070885,4016.4672827180234,37.11070370750218,63,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0064,114,83,0,41,124,2133.8822595195375,2481.401548207225,2062.947591922756,6678.231399649519,220.4308929782625,64,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0065,103,69,0,43,112,1720.9579515204541,2726.347419009488,999.3942011658031,5446.699571695745,246.56262164559575,65,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0066,111,70,0,39,109,1795.7616174230518,2267.5874902944306,530.2444835520952,4593.593591269578,145.7720827612869,66,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0067,89,62,0,27,89,1627.0489591314781,1759.0532082380987,989.0330739672655,4375.135241336842,627.6619386315251,67,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0068,102,73,0,40,113,1755.3374936216671,2834.6143292115967,143.5936837709943,4733.545506604258,271.1975901620216,68,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0069,96,62,0,28,90,1504.2163828366422,1817.4506259096536,497.7406952756461,3819.4077040219418,444.0858597993718,69,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0070,93,67,1,41,109,1734.8386581512232,2495.6963111336227,215.173131114312,4445.708100399158,183.44175000610466,70,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0071,97,63,0,33,96,1859.758067258069,1910.903514030015,410.3737391199633,4181.0353204080475,216.28288703881316,71,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0072,98,77,1,36,114,2117.0195528112117,2146.787765445015,1140.1587902540812,5403.966108510308,0.0,72,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0073,87,62,0,33,95,1444.6603652383112,2709.086802638716,645.448400404873,4799.1955682819,869.1827868325836,73,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0074,98,62,1,45,108,2030.6552831790927,2776.513653259798,1128.1536397131736,5935.322576152064,256.8534887591976,74,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0075,88,56,1,30,87,1597.2512886282893,1735.002078523865,445.0309437385287,3777.2843108906827,0.0,75,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0076,103,70,1,41,112,1745.968126875279,2602.189933211526,836.1376552460133,5184.295715332818,55.73739156307299,76,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0077,117,86,0,59,145,1976.6256958205956,3828.403390132124,763.155019959516,6568.184105912235,434.01756473277186,77,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0078,106,73,0,51,124,2101.7196997352694,3318.718852885427,1145.0457822846406,6565.484334905337,185.64974066806667,78,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0079,116,78,0,46,124,2332.695703592756,2672.9774255925645,1047.3920736714035,6053.065202856725,234.45743199833214,79,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0080,113,83,1,45,129,2565.5884237813257,2833.694569651451,1254.865606884548,6654.148600317325,275.74050611553275,80,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0081,82,52,0,34,86,1450.8716599169418,1997.5765521236392,107.59171137642166,3556.0399234170027,810.0954305315029,81,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0082,96,61,0,40,101,1703.5227119691224,2066.638658116105,1477.4822323151868,5247.643602400414,417.96975716633284,82,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0083,82,56,0,31,87,1719.3331844288464,1656.1961927264392,543.9802959777219,3919.5096731330077,364.2499254497151,83,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0084,88,62,2,42,106,2139.792625702489,2727.7389578929065,1522.110326135964,6389.641909731359,64.17362002152196,84,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0085,86,62,0,30,92,1581.092297668595,1757.787601999924,1152.7568599914234,4491.636759659943,13.380055894731427,85,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0086,92,72,0,46,118,1728.175996690702,2975.3421374896184,1208.1333425562054,5911.651476736525,280.52418126314103,86,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0087,117,92,0,47,139,2430.195075765094,3321.419269673633,681.0309311481683,6432.645276586896,292.11728025612706,87,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0088,81,51,0,30,81,1192.609862639846,1605.5750636679034,1170.406204987473,3968.591131295222,16.331155345155963,88,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0089,102,75,0,32,107,1925.9649471319667,1824.4083076392242,291.8094717731201,4042.1827265443108,71.26002271553742,89,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0090,100,72,0,36,108,1847.275490744858,2570.7770169687133,910.3983996807881,5328.45090739436,0.0,90,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0091,101,66,0,39,105,1821.889762930465,2155.1644121700524,443.5319240251813,4420.586099125699,10.275311120013654,91,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0092,113,77,0,45,122,2063.321830517113,3192.6504137245693,913.1695480126767,6169.141792254359,44.89678159735227,92,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0093,110,80,1,47,128,1899.0956952420013,2353.3250601037744,960.7100820020225,5213.130837347798,51.02822675277568,93,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0094,111,80,0,45,125,2392.7477983509834,2639.227347568316,721.3435062989367,5753.318652218236,240.28867938262445,94,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0095,97,68,0,35,103,1665.767166522215,2460.448196407699,413.7733393495224,4539.988702279436,400.71583731434544,95,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0096,92,62,0,44,106,1526.8148468867355,2565.6971880942833,1632.499515678908,5725.011550659927,390.55871571941066,96,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0097,96,65,1,32,98,1905.1641283345307,2335.476233986576,777.8218415104261,5018.462203831532,122.11383106788962,97,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0098,111,71,0,50,121,1844.9014526843637,3010.119957456729,1037.128724191313,5892.150134332406,88.23812442913945,98,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0099,107,75,0,53,128,2207.795993319694,3672.6393190108674,960.7046574775832,6841.139969808144,653.0043494498341,99,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0100,97,66,1,36,103,1777.2740854831202,2501.3780461815527,1122.1151069160514,5400.767238580725,154.4021888100824,100,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0101,103,64,1,36,101,2324.9856918528885,2122.77917910394,697.9283794551754,5145.693250412004,237.6199620129524,101,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0102,112,78,1,51,130,2263.6932588654176,3642.000340654438,1672.1457824194304,7577.839381939286,356.21197869631646,102,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0103,94,72,1,43,116,1965.8620414253226,2887.7855389147526,524.9619347358179,5378.609515075893,25.1782826608722,103,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0104,113,86,0,49,135,2269.357283956202,3178.841281752552,1191.1530470352532,6639.351612744007,46.53602215027817,104,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0105,105,78,1,38,117,1828.683731233747,2630.3468860569487,730.3648395678832,5189.395456858579,51.55069199363709,105,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0106,89,56,0,33,89,1542.5820289844883,1969.7261912574183,143.9363494148702,3656.2445696567765,105.80903993644972,106,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0107,99,70,0,39,109,1894.9885493723914,2255.282033569782,496.2159605000488,4646.486543442223,68.3820381197074,107,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0108,106,83,0,45,128,1746.5376448409947,2856.5347443856863,500.87012251542217,5103.942511742103,160.6934199082845,108,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0109,88,59,0,31,90,1909.8040227635015,1496.3751367952545,537.2863508046079,3943.465510363364,5.034033936504969,109,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0110,90,55,0,36,91,1609.9755023938262,2003.4916906683943,608.2604890624644,4221.727682124685,248.84161765790336,110,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0111,123,94,0,48,142,2564.972984662618,3310.1978692027405,856.9513806619601,6732.122234527318,227.35928087468807,111,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0112,99,70,1,47,118,2099.241166839426,2550.5948744001694,555.9674629565925,5205.803504196188,65.86716475560831,112,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0113,89,60,1,33,94,1623.0727706551377,1781.36624323823,641.0335242245677,4045.4725381179355,43.59723767656763,113,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0114,98,74,1,43,118,1773.5129201430677,3177.4774860110624,939.6628357274171,5890.653241881548,7.037084309005394,114,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0115,104,73,1,38,112,1971.7161305613058,2872.2414195379065,583.5087164776844,5427.4662665768965,63.5263219370558,115,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0116,99,76,0,36,112,1964.366892049411,2393.776190500579,655.7943354854428,5013.937418035433,215.99970634582348,116,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0117,95,70,0,39,109,1530.8104853536306,2658.115984400598,765.9750795992891,4954.901549353517,280.16547314062575,117,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0118,77,52,1,36,89,1548.6319627927032,2111.949877736921,1268.7931843723486,4929.375024901972,122.14035461069071,118,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0119,111,79,0,51,130,2377.5371936312863,2967.198316168128,906.1227126765434,6250.8582224759575,227.51075560253327,119,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0120,90,69,1,37,107,1814.618799996369,2231.4448674514965,1925.4576746974867,5971.521342145352,20.315299767404298,120,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0121,96,67,0,34,101,1751.4025257122405,2159.3946470403225,1271.3319771349488,5182.129149887512,29.895566921525656,121,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0122,107,73,0,43,116,1801.548803735508,2316.1406276647153,1198.1202729212673,5315.809704321491,69.14222401407048,122,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0123,85,53,1,27,81,1386.9396881522591,2161.5881623470336,315.00940982892314,3863.5372603282162,379.64425576771026,123,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0124,109,86,1,47,134,2434.6336044874893,3123.024712276186,464.898067076848,6022.556383840523,31.527306941243836,124,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0125,96,66,1,39,106,1744.945753949186,2850.797560993637,1017.0406744037097,5612.783989346533,117.83082389986538,125,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0126,97,75,0,41,116,2144.855430154074,2607.8748340599336,813.9213259136246,5566.6515901276325,0.0,126,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
M0127,98,62,0,39,101,1567.0909324170996,2428.639199732076,678.5029642519289,4674.233096401105,53.19063748940053,127,277b20e8eb55e0c656b9ef524d3b4bfb42d59c20116e83ad6d0b8d2f83e039e6,True
