month_id,Total_Accidents,Own_Damage_Accidents,Third_Party_Accidents,Total_Loss_Cases,Mean_Own_Damage_Severity,Mean_Third_Party_Severity,Total_Own_Damage_Amount,Total_Third_Party_Amount,Total_Payout_Amount,source_row_number,source_sha256,critical_checks_pass
M0011,99,71,41,9,33678.2311075168,56474.57380187071,2391154.408633693,2315457.525876699,4706611.934510392,11,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0012,90,60,36,11,29849.41840858833,55581.676643543775,1790965.1045153,2000940.3591675758,3791905.463682876,12,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0013,103,69,36,4,14837.541603300298,57590.67351005259,1023790.3706277206,2073264.2463618934,3097054.616989614,13,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0014,103,72,43,2,24449.232582340508,63110.55378051775,1760344.7459285166,2713753.812562263,4474098.558490779,14,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0015,94,66,45,7,13239.675467476918,58141.03487222547,873818.5808534767,2616346.5692501464,3490165.150103623,15,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0016,105,71,41,12,22258.013315663065,60311.3893142634,1580318.9454120777,2472766.9618847994,4053085.9072968774,16,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0017,86,64,33,4,26863.348269074108,73679.72461809037,1719254.2892207429,2431430.9123969823,4150685.201617725,17,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0018,92,65,36,8,60311.02998219585,88863.48498810027,3920216.94884273,3199085.4595716097,7119302.40841434,18,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0019,94,71,41,2,10038.277505997501,85121.24387581676,712717.7029258226,3489970.998908487,4202688.70183431,19,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0020,101,61,30,3,29404.54633435953,98075.57777411498,1793677.3263959312,2942267.3332234495,4735944.659619381,20,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0021,103,69,42,3,53569.86425910345,50658.573661007824,3696320.633878138,2127660.0937623284,5823980.727640467,21,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0022,84,57,37,2,34728.24665732413,50987.84472870312,1979510.0594674756,1886550.2549620157,3866060.3144294913,22,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0023,76,52,27,6,36307.05179441491,93233.63201108226,1887966.6933095753,2517308.064299221,4405274.7576087965,23,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0024,97,70,39,5,31338.947783766613,67806.6947990347,2193726.344863663,2644461.0971623533,4838187.442026016,24,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0025,111,80,41,5,48002.13143813245,70615.97217567383,3840170.5150505956,2895254.859202627,6735425.374253223,25,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0026,93,67,37,4,11470.26253993972,51092.15756585167,768507.5901759613,1890409.8299365116,2658917.420112473,26,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0027,87,59,38,6,9589.691519023678,56257.53282531777,565791.7996223969,2137786.2473620754,2703578.0469844723,27,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0028,108,79,44,3,21942.913428123222,75102.89608789017,1733490.1608217345,3304527.4278671676,5038017.588688903,28,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0029,106,75,46,1,6022.7710388822525,109523.31996407683,451707.82791616896,5038072.718347535,5489780.546263703,29,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0030,108,79,44,3,46091.66834034906,135301.93928823614,3641241.798887576,5953285.32868239,9594527.127569966,30,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0031,96,59,34,3,45817.85390055831,65997.54967364816,2703253.38013294,2243916.6889040372,4947170.069036977,31,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0032,113,72,50,3,16983.365889845994,68540.39467585468,1222802.3440689116,3427019.733792734,4649822.077861645,32,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0033,95,75,36,7,17633.180150153472,102313.99698637302,1322488.5112615104,3683303.8915094286,5005792.402770939,33,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0034,94,67,38,3,21090.785436526927,68072.5652055179,1413082.6242473042,2586757.47780968,3999840.1020569843,34,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0035,107,72,42,1,22724.806184257646,66886.77801768655,1636186.0452665505,2809244.676742835,4445430.722009385,35,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0036,114,75,37,4,23772.96647101945,128243.18704496596,1782972.4853264587,4744997.9206637405,6527970.405990199,36,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0037,86,63,39,7,30789.81597513768,93331.15499486343,1939758.4064336738,3639915.044799674,5579673.451233348,37,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0038,108,84,38,5,19859.23045174146,130464.37992177004,1668175.3579462827,4957646.437027262,6625821.794973545,38,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0039,108,78,42,2,38789.93101796812,55174.98120509642,3025614.619401513,2317349.2106140493,5342963.8300155625,39,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0040,101,77,26,4,28783.818951652207,67307.63213163147,2216354.05927722,1749998.4354224182,3966352.4946996383,40,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0041,94,68,37,5,15303.271873759026,104719.37522669841,1040622.4874156137,3874616.8833878413,4915239.370803455,41,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0042,116,83,43,1,49073.1637233229,52412.899903411046,4073072.5890358007,2253754.695846675,6326827.284882476,42,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0043,97,67,37,4,9750.22663489648,94185.14350045091,653265.1845380642,3484850.3095166837,4138115.4940547477,43,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0044,91,63,39,3,20841.48006016821,54209.515074267845,1313013.2437905972,2114171.0878964458,3427184.331687043,44,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0045,94,63,27,7,39346.033200525635,96773.62140247205,2478800.091633115,2612887.7778667454,5091687.86949986,45,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0046,118,93,43,5,14273.445573232482,73019.31153409096,1327430.4383106208,3139830.395965911,4467260.834276532,46,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0047,104,69,38,5,26522.093671168288,54484.30284850837,1830024.463310612,2070403.5082433182,3900427.97155393,47,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0048,110,74,47,3,30515.91891876946,64619.3443947498,2258177.99998894,3037109.1865532408,5295287.186542181,48,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0049,115,76,48,7,13143.540224272792,79058.27938479197,998909.0570447323,3794797.4104700144,4793706.467514747,49,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0050,94,58,37,7,21089.137326359352,74732.19963177318,1223169.9649288424,2765091.386375608,3988261.35130445,50,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0051,91,63,34,5,20052.271174876747,62486.056158197025,1263293.084017235,2124525.909378699,3387818.993395934,51,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0052,110,75,43,5,15818.845934795903,125277.48415802034,1186413.4451096926,5386931.8187948745,6573345.263904567,52,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0053,98,74,45,0,87641.06198598014,67020.41836563623,6485438.58696253,3015918.8264536303,9501357.41341616,53,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0054,86,61,30,2,13934.68295471895,66287.64129381132,850015.660237856,1988629.2388143395,2838644.8990521953,54,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0055,121,84,52,4,40253.73914082774,51302.116727880144,3381314.0878295302,2667710.0698497677,6049024.157679298,55,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0056,100,72,37,9,17401.63401795503,138803.52539737936,1252917.6492927624,5135730.439703036,6388648.0889957985,56,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0057,96,67,34,7,11476.0586375473,54054.85132256832,768895.9287156691,1837864.944967323,2606760.873682992,57,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0058,127,92,46,1,23428.03229981622,67533.63314395423,2155378.971583092,3106547.124621894,5261926.096204987,58,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0059,100,62,37,6,32514.97497416513,95870.44791314303,2015928.448398238,3547206.572786292,5563135.02118453,59,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0060,93,65,31,3,38265.56731326584,55096.305647237175,2487261.87536228,1707985.4750643524,4195247.350426632,60,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0061,103,86,42,11,56238.62438127769,67478.07733328457,4836521.696789881,2834079.247997952,7670600.944787834,61,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0062,78,51,41,2,128945.84306092457,55821.46008429755,6576237.996107153,2288679.8634561994,8864917.859563353,62,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0063,116,82,45,3,25598.998849290758,88443.2880329887,2099117.905641842,3979947.9614844914,6079065.8671263335,63,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0064,88,55,28,5,14796.481510399644,69712.6184094393,813806.4830719804,1951953.3154643003,2765759.7985362806,64,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0065,105,75,34,3,28903.69140084976,108541.51736910614,2167776.855063732,3690411.5905496087,5858188.4456133405,65,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0066,92,55,29,5,18774.826390701437,122960.19836206427,1032615.451488579,3565845.752499864,4598461.203988443,66,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0067,96,67,40,5,38391.05151329457,75982.80154198802,2572200.4513907363,3039312.061679521,5611512.513070257,67,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0068,104,68,37,2,10114.25832032683,83846.36771464116,687769.5657822244,3102315.605441723,3790085.1712239473,68,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0069,84,62,44,6,91217.37975905748,68767.65058737545,5655477.545061564,3025776.6258445196,8681254.170906084,69,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0070,95,63,36,4,36813.82956161154,60709.781291878564,2319271.262381527,2185552.1265076282,4504823.388889155,70,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0071,105,78,46,7,8019.22922250406,75929.60588184385,625499.8793553166,3492761.870564817,4118261.7499201335,71,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0072,100,54,42,3,14394.229248489339,130017.17322674546,777288.3794184243,5460721.27552331,6238009.654941734,72,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0073,104,73,41,2,35941.52626514845,62030.79836666605,2623731.417355837,2543262.7330333083,5166994.150389145,73,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0074,106,73,39,7,44614.15363330914,58149.26387675399,3256833.2152315676,2267821.2911934056,5524654.506424973,74,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0075,120,80,51,5,10266.66403190426,60868.62704744177,821333.1225523409,3104299.9794195304,3925633.101971871,75,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0076,95,59,39,4,33786.46340442293,62845.3176448884,1993401.3408609529,2450967.3881506473,4444368.7290116,76,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0077,118,90,43,8,6847.206763910208,51551.73403291653,616248.6087519187,2216724.563415411,2832973.1721673296,77,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0078,92,62,43,6,20876.898270894366,65893.33433827729,1294367.6927954508,2833413.3765459233,4127781.069341374,78,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0079,110,88,50,4,42925.7906641582,65677.66700663525,3777469.5784459217,3283883.350331763,7061352.928777684,79,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0080,101,76,47,1,15820.954300935815,71317.86878834495,1202392.526871122,3351939.8330522124,4554332.359923335,80,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0081,84,55,41,1,8918.175109590044,59877.70667039176,490499.6310274524,2454985.973486062,2945485.604513515,81,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0082,115,76,50,5,24046.118698362723,73102.78507576478,1827505.021075567,3655139.2537882393,5482644.274863807,82,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0083,95,63,42,1,15323.895401769783,116073.84026684213,965405.4103114964,4875101.291207369,5840506.701518865,83,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0084,114,80,45,5,32136.091382071863,173585.2384629929,2570887.310565749,7811335.73083468,10382223.041400429,84,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0085,104,77,44,3,12949.392316620493,70985.6907148881,997103.208379778,3123370.3914550766,4120473.5998348547,85,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0086,89,63,36,4,13855.22734732801,50878.11278430603,872879.3228816646,1831612.0602350172,2704491.383116682,86,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0087,103,77,47,2,6551.167830531108,201257.86804484503,504439.9229508953,9459119.798107717,9963559.721058613,87,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0088,85,61,37,8,24390.93501883837,81573.59197613534,1487847.0361491404,3018222.9031170076,4506069.939266148,88,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0089,101,74,45,4,19999.389699270127,58897.01200284966,1479954.8377459894,2650365.540128235,4130320.3778742244,89,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0090,104,68,48,8,10796.412667908147,53287.15224604429,734156.061417754,2557783.307810126,3291939.3692278797,90,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0091,106,70,36,14,24742.53801661842,53193.98799014008,1731977.6611632893,1914983.567645043,3646961.2288083322,91,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0092,95,73,35,1,40792.03743285686,53810.535648852056,2977818.7325985506,1883368.747709822,4861187.4803083725,92,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0093,104,80,38,3,19354.093644705375,50941.62923063903,1548327.49157643,1935781.9107642833,3484109.402340713,93,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0094,105,72,28,4,25871.57539419423,126693.14258284072,1862753.4283819846,3547407.99231954,5410161.420701524,94,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0095,84,55,42,5,25951.553443520792,68258.57780025639,1427335.4393936435,2866860.2676107683,4294195.707004412,95,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0096,93,59,39,8,10693.614896573297,80927.84979370992,630923.2788978246,3156186.141954687,3787109.4208525117,96,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0097,115,78,48,7,75655.95942790793,101127.26296870562,5901164.835376819,4854108.62249787,10755273.45787469,97,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0098,109,76,47,6,16605.514233524966,93618.51534976577,1262019.0817478974,4400070.221438991,5662089.303186888,98,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0099,102,70,38,4,32652.27207539016,117790.72293453116,2285659.045277311,4476047.4715121845,6761706.516789496,99,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0100,90,68,37,4,34944.947247983386,196295.34641246195,2376256.4128628704,7262927.817261092,9639184.230123963,100,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0101,93,60,36,6,20256.741358588628,63009.60072070304,1215404.4815153177,2268345.6259453096,3483750.1074606273,101,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0102,104,76,41,1,31700.160249306995,166169.55649084784,2409212.1789473314,6812951.8161247615,9222163.995072093,102,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0103,117,86,55,14,25526.988221134427,83591.098053058,2195320.9870175608,4597510.39291819,6792831.379935751,103,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0104,98,72,37,3,9408.945321230622,51487.485571874306,677444.0631286048,1905036.9661593493,2582481.029287954,104,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0105,94,63,37,1,18045.224881314098,79046.1495470843,1136849.167522788,2924707.533242119,4061556.700764907,105,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0106,112,87,45,3,15252.053955724814,79541.73943689509,1326928.6941480588,3579378.274660279,4906306.968808338,106,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0107,89,62,33,9,16696.476284156877,128665.27931185934,1035181.5296177263,4245954.217291358,5281135.746909084,107,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0108,119,86,42,4,10072.841224131666,60262.089415472554,866264.3452753233,2531007.7554498473,3397272.1007251707,108,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0109,102,66,42,2,43297.9353344958,71074.48538637126,2857663.7320767227,2985128.386227593,5842792.118304316,109,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0110,87,61,37,6,57595.26236928918,50245.85101745159,3513311.00452664,1859096.487645709,5372407.492172349,110,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0111,113,75,48,12,39608.60951468655,58759.621236418716,2970645.713601491,2820461.8193480982,5791107.532949589,111,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0112,106,73,51,2,47207.947398575794,51301.96652793463,3446180.160096033,2616400.2929246663,6062580.453020699,112,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0113,96,64,45,4,17911.87353306628,67166.49515586943,1146359.9061162418,3022492.2820141246,4168852.1881303666,113,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0114,110,71,48,0,15036.650987552259,98722.24743505564,1067602.2201162104,4738667.87688267,5806270.096998881,114,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0115,100,72,38,4,13805.851070642993,54845.207783882724,994021.2770862955,2084117.8957875436,3078139.1728738393,115,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0116,110,77,51,4,32417.022634797868,67481.94717432448,2496110.742879436,3441579.3058905485,5937690.048769984,116,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0117,106,79,43,2,25241.325519243703,54778.061853631254,1994064.7160202526,2355456.659706144,4349521.375726396,117,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0118,114,82,48,3,21029.194657779146,52639.638334084,1724393.96193789,2526702.6400360316,4251096.601973921,118,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0119,96,64,41,12,47910.459777230375,66564.90568885725,3066269.425742744,2729161.1332431473,5795430.558985891,119,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0120,102,67,48,1,28084.267196717694,51676.630361806856,1881645.9021800854,2480478.257366729,4362124.159546815,120,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0121,99,71,42,1,13317.116177821736,71242.510354988,945515.2486253432,2992185.434909496,3937700.683534839,121,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0122,93,68,39,4,14639.149660344247,50640.85184001833,995462.1769034087,1974993.221760715,2970455.3986641234,122,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0123,69,44,30,6,33163.195793243285,52308.70667652291,1459180.6149027045,1569261.2002956872,3028441.8151983917,123,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0124,111,78,50,7,41152.489876137224,68815.14481221254,3209894.2103387034,3440757.240610627,6650651.45094933,124,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0125,87,56,42,3,30669.01496428153,71524.33210791294,1717464.8379997658,3004021.9485323434,4721486.78653211,125,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0126,108,76,43,10,68743.2101174301,50591.781676371815,5224483.968924688,2175446.6120839883,7399930.581008676,126,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0127,104,76,36,3,58747.524763800575,70299.49607258821,4464811.882048843,2530781.858613176,6995593.74066202,127,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0128,78,55,28,7,28699.11315967292,103682.08213017313,1578451.2237820106,2903098.299644848,4481549.523426859,128,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0129,101,67,40,8,13317.73126731989,83473.7208366248,892287.9949104326,3338948.8334649918,4231236.828375424,129,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0130,100,72,54,1,10036.738530995603,52893.10971127775,722645.1742316834,2856227.9244089983,3578873.0986406817,130,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0131,109,73,34,2,17458.308619942447,71599.19700541964,1274456.5292557986,2434372.6981842676,3708829.227440066,131,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0132,98,74,36,10,34611.04285724594,78118.56363351711,2561217.1714362,2812268.290806616,5373485.462242816,132,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0133,111,80,39,2,65906.22963009341,50764.62723579605,5272498.370407473,1979820.4621960458,7252318.832603519,133,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
M0134,97,60,42,1,28295.78749107989,108352.72284185988,1697747.2494647934,4550814.359358115,6248561.608822908,134,51f3c6760f42acbe76dda42ed2ccfac04f744e32c97d93a446ea51b9438ecc8f,True
